2014-10-15,185.16,187.69,181.92,186.43,380441400,186.43
2014-10-14,188.42,189.82,187.04,187.70,215590700,187.70
2014-10-13,190.46,191.15,187.30,187.41,230399200,187.41
2014-10-10,192.69,193.65,190.49,190.54,221537700,190.54
2014-10-09,196.33,196.60,192.58,192.74,210024300,192.74
2014-10-08,193.37,196.92,192.36,196.64,186102500,196.64
2014-10-07,195.28,195.72,193.22,193.26,147913000,193.26
2014-10-06,197.34,197.60,195.58,196.29,104778000,196.29
2014-10-03,195.68,196.94,195.08,196.52,121569000,196.52
2014-10-02,194.18,195.06,192.35,194.38,157285000,194.38
2014-10-01,196.70,196.77,193.91,194.35,177798000,194.35
2014-09-30,197.69,198.30,196.61,197.02,131302000,197.02
2014-09-29,196.20,197.89,196.05,197.54,95112000,197.54
2014-09-26,196.70,198.39,196.42,197.90,103547000,197.90
2014-09-25,199.04,199.05,196.27,196.34,150300000,196.34
2014-09-24,198.04,199.69,197.52,199.56,107276000,199.56
2014-09-23,198.43,199.26,197.95,198.01,111393000,198.01
2014-09-22,200.35,200.38,198.73,199.15,125553000,199.15
2014-09-19,201.52,201.90,200.29,200.70,121649000,200.70
2014-09-18,201.36,201.85,201.10,201.82,94990000,200.88
2014-09-17,200.77,201.68,199.75,200.75,151266000,199.82
2014-09-16,198.61,200.84,198.50,200.48,116201000,199.55
2014-09-15,199.16,199.32,198.38,198.98,76401000,198.05
2014-09-12,200.10,200.12,198.56,199.13,117479000,198.20
2014-09-11,199.27,200.33,199.12,200.30,66774400,199.37
2014-09-10,199.43,200.20,198.77,200.07,67251000,199.14
2014-09-09,200.41,200.55,198.91,199.32,88591000,198.39
2014-09-08,200.92,201.21,200.00,200.59,64146000,199.66
2014-09-05,200.17,201.19,199.41,201.11,102177000,200.17
2014-09-04,200.84,201.58,199.66,200.21,85236000,199.28
2014-09-03,201.38,201.41,200.22,200.50,57462000,199.57
2014-09-02,200.97,201.00,199.86,200.61,72426000,199.68
2014-08-29,200.45,200.73,199.82,200.71,65907000,199.78
2014-08-28,199.59,200.27,199.39,200.14,58330000,199.21
2014-08-27,200.43,200.57,199.94,200.25,47874000,199.32
2014-08-26,200.33,200.82,200.28,200.33,47298000,199.40
2014-08-25,200.14,200.59,199.15,200.20,63855000,199.27
2014-08-22,199.34,199.69,198.74,199.19,76107000,198.26
2014-08-21,199.09,199.76,198.93,199.50,67791000,198.57
2014-08-20,198.12,199.16,198.08,198.92,72763000,197.99
2014-08-19,197.84,198.54,197.44,198.39,59135000,197.47
2014-08-18,196.80,197.45,196.69,197.36,75424000,196.44
2014-08-15,196.47,196.65,194.31,195.72,139951000,194.81
2014-08-14,195.16,195.76,194.98,195.76,57371000,194.85
2014-08-13,194.29,195.06,193.96,194.84,69047000,193.93
2014-08-12,193.61,194.15,192.94,193.53,73632000,192.63
2014-08-11,193.97,194.66,193.71,193.80,74544000,192.90
2014-08-08,191.46,193.37,190.95,193.24,117014000,192.34
2014-08-07,192.94,193.13,190.55,191.03,135733000,190.14
2014-08-06,191.11,192.89,191.08,192.07,94818000,191.18
2014-08-05,193.10,193.60,191.31,192.01,152690000,191.12
2014-08-04,192.87,194.30,192.05,193.89,91340000,192.99
2014-08-01,192.56,193.76,191.57,192.50,189261000,191.60
2014-07-31,195.61,195.78,192.97,193.09,183479000,192.19
2014-07-30,197.65,197.91,196.16,196.98,104222000,196.06
2014-07-29,198.17,198.45,196.92,196.95,80466000,196.03
2014-07-28,197.76,198.09,196.62,197.80,69259000,196.88
2014-07-25,198.09,198.26,197.33,197.72,76837000,196.80
2014-07-24,198.83,199.06,198.45,198.65,56888000,197.73
2014-07-23,198.50,198.85,198.10,198.64,65612000,197.72
2014-07-22,198.01,198.56,197.87,198.20,67678000,197.28
2014-07-21,197.09,197.50,196.43,197.34,67592000,196.42
2014-07-18,196.35,197.91,196.24,197.71,124330000,196.79
2014-07-17,197.35,198.10,195.43,195.71,145398000,194.80
